code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
DB503,DB,Computing (Software Development),242,282,225,225,,,,,,Dublin Business School,Information and Communication Technologies (ICTs),NaN,NaN,
DB504,DB,Computing (Web and Mobile Technology),227,269,,281,,,,,,Dublin Business School,Information and Communication Technologies (ICTs),NaN,NaN,
DB510,DB,Audio Production and Music Project Management,233,293,234,223,,,,217,217,Dublin Business School,Arts,NaN,NaN,
DB512,DB,Business Studies,229,301,218,203,,,,243,210,Dublin Business School,Business and administration,NaN,NaN,
DB514,DB,Business Studies (Law),269,337,252,,,,,239,225,Dublin Business School,Business and administration,NaN,NaN,
DB515,DB,Business Studies (Human Resource Management),225,288,244,244,,,,242,217,Dublin Business School,Business and administration,NaN,NaN,
DB517,DB,Marketing (Event Management),226,327,238,,,,,233,225,Dublin Business School,Business and administration,NaN,NaN,
DB518,DB,Marketing (Digital Media),210,289,,,,,,307,209,Dublin Business School,,NaN,NaN,
DB521,DB,Accounting and Finance,225,271,225,195,,,,243,228,Dublin Business School,Business and administration,NaN,NaN,
DB524,DB,Business (Information Systems),402,402,342,309,,,,247,239,Dublin Business School,Information and Communication Technologies (ICTs),NaN,NaN,
DB525,DB,Marketing (Digital Media and Cloud Computing),284,309,,,,,,288,288,Dublin Business School,,NaN,NaN,
DB526,DB,Business (Cloud Computing),253,288,347,,,,,244,244,Dublin Business School,Information and Communication Technologies (ICTs),NaN,NaN,
DB527,DB,Applied Social Care,235,288,234,260,,,,254,219,Dublin Business School,Social and behavioural sciences,NaN,NaN,
DB531,DB,Marketing,220,288,293,,,,,288,176,Dublin Business School,Business and administration,NaN,NaN,
DB562,DB,Psychology,208,310,243,229,,,,244,233,Dublin Business School,Social and behavioural sciences,NaN,NaN,
DB566,DB,Social Science,216,308,220,227,,,,262,228,Dublin Business School,Social and behavioural sciences,NaN,NaN,
DB567,DB,Film and Creative Media,192,295,218,202,,,,245,213,Dublin Business School,Arts,NaN,NaN,
DB568,DB,Law,245,308,219,252,,,,254,228,Dublin Business School,Law,NaN,NaN,
DB569,DB,Business (Psychology),279,338,252,,,,,240,240,Dublin Business School,Business and administration,NaN,NaN,
DB516,DB,Financial Services,328,336,,,,,,,,Dublin Business School,Business and administration,NaN,NaN,
DC001,DC,Education - Early Childhood Education,398,424,440,,,,,445,,Dublin City University,Education,NaN,NaN,
DC002,DC,Education - Primary Teaching,462,485,488,,,,,518,,Dublin City University,Education,*,*,
DC003,DC,Education - Primary Teaching - Gaeltacht Applicant,433,473,445,,,,#,489,,Dublin City University,Education,#,#,#
DC004,DC,Education - Primary Teaching (Church of Ireland Ce,,357,411,409,,,#,451,,Dublin City University,Education,#,#,#
DC009,DC,Arts (Joint Honours) - Humanities,347,408,376,,,,,356,,Dublin City University,Arts,NaN,NaN,
DC010,DC,Post Primary Teacher Education - Religious Educati,386,413,441,429,,,,384,,Dublin City University,Education,NaN,NaN,
DC011,DC,Post Primary Teacher Education - Religious Educati,352,389,412,391,,,,409,,Dublin City University,Education,NaN,NaN,
DC012,DC,Post Primary Teacher Education - Religious Educati,367,415,378,,,,#,409,,Dublin City University,Education,#,NaN,#
DC013,DC,Post Primary Teacher Ed - Gaeilge with French/Germ,410,509,419,,,,,413,,Dublin City University,Education,NaN,NaN,
DC014,DC,BA in Jazz and Contemporary Music Performance (aud,428,590,419,,,,#,311,,Dublin City University,Arts,#,#,#
DC110,DC,Business Studies International,440,462,465,,,,,498,,Dublin City University,Languages,NaN,NaN,
DC111,DC,Business Studies,463,479,488,,,,,511,,Dublin City University,Business and administration,NaN,NaN,
DC112,DC,Global Business (France),495,510,517,510,,,,542,,Dublin City University,Business and administration,NaN,*,
DC113,DC,Global Business (Germany),440,476,462,,,,,484,,Dublin City University,Business and administration,NaN,NaN,
DC114,DC,Global Business (Spain),501,543,522,,,,,544,,Dublin City University,Business and administration,NaN,NaN,
DC115,DC,Accounting and Finance,487,500,510,,,,,544,,Dublin City University,Business and administration,NaN,NaN,
DC116,DC,Global Business (USA),578,589,579,,,,,613,,Dublin City University,Business and administration,NaN,*,
DC117,DC,Aviation Management / Aviation Management with Pil,463,487,476,475,,,,484,,Dublin City University,Engineering and engineering trades,NaN,NaN,
DC118,DC,Gná agus Gaeilge / Business and Irish,357,399,359,,,,,368,,Dublin City University,Business and administration,NaN,NaN,
DC119,DC,Global Business (Canada),566,577,564,,,,,601,,Dublin City University,Business and administration,NaN,NaN,
DC120,DC,Computing for Business,350,389,357,,,,,403,402,Dublin City University,Information and Communication Technologies (ICTs),NaN,NaN,
DC121,DC,Computer Science,370,418,400,,,,,475,,Dublin City University,Information and Communication Technologies (ICTs),NaN,NaN,
DC123,DC,Data Science,467,511,465,,,,,501,,Dublin City University,Information and Communication Technologies (ICTs),NaN,NaN,
DC126,DC,Actuarial Mathematics,520,543,560,,,,,577,,Dublin City University,Mathematics and statistics,NaN,*,
DC127,DC,Common Entry into Actuarial and Financial Mathemat,509,531,532,520,,,,541,,Dublin City University,Mathematics and statistics,NaN,NaN,
DC131,DC,Communication Studies,400,441,407,402,,,,421,,Dublin City University,Humanities (except languages),NaN,NaN,
DC132,DC,Journalism,401,440,429,422,,,,452,,Dublin City University,Journalism and information,NaN,NaN,
DC133,DC,Multimedia,403,451,411,410,,,,435,,Dublin City University,Arts,NaN,NaN,
DC155,DC,Applied Language and Translation Studies,371,430,387,,,,,427,,Dublin City University,Languages,NaN,NaN,
DC161,DC,Analytical Science,446,463,498,489,*,,,498,,Dublin City University,Physical sciences,NaN,NaN,*
DC162,DC,Chemical and Pharmaceutical Sciences,488,498,521,,,,,531,,Dublin City University,Physical sciences,NaN,*,
DC163,DC,Chemical Sciences General Entry (Undenominated Ent,,,,,,,,466,,Dublin City University,,NaN,*,
DC166,DC,Environmental Science and Technology,412,442,433,399,,,,423,,Dublin City University,Environment,NaN,*,
DC168,DC,Genetics and Cell Biology,489,500,512,510,*,,,543,,Dublin City University,Biological and related sciences,NaN,*,*
DC175,DC,Physics General Entry (options),,,419,402,,,,400,,Dublin City University,Physical sciences,NaN,NaN,
DC180,DC,Biological Sciences General Entry (Undenominated E,,,,,,,,530,,Dublin City University,,NaN,NaN,
DC181,DC,Biotechnology,476,488,499,495,,,,530,,Dublin City University,Biological and related sciences,NaN,NaN,
DC190,DC,Electronic and Computer Engineering (with choice o,391,433,413,,,,,488,,Dublin City University,Engineering and engineering trades,NaN,NaN,
DC193,DC,Mechatronic Engineering,404,445,411,,,,,490,,Dublin City University,Engineering and engineering trades,NaN,NaN,
DC194,DC,Sustainable Systems and Energy,,,,,,,,476,,Dublin City University,,NaN,NaN,
DC195,DC,Mechanical and Manufacturing Engineering,401,444,425,,,,,500,,Dublin City University,Engineering and engineering trades,NaN,NaN,
DC197,DC,Biomedical Engineering,402,446,423,,,,,510,,Dublin City University,Health,NaN,NaN,
DC200,DC,Common Entry into Engineering (Undenominated Entry,381,444,422,,,,,511,510,Dublin City University,Engineering and engineering trades,NaN,NaN,
DC202,DC,Sport Science and Health,467,476,500,498,,*,,511,,Dublin City University,Health,NaN,NaN,*
DC203,DC,Science Education,424,476,435,,,,,462,,Dublin City University,Education,NaN,NaN,
DC204,DC,Athletic Therapy and Training,484,500,522,519,,,,558,,Dublin City University,Health,NaN,NaN,
DC205,DC,Physical Education with Biology,490,521,531,,,,,565,,Dublin City University,Education,NaN,NaN,
DC206,DC,Physical Education with Mathematics,443,476,499,,,,,521,,Dublin City University,Education,NaN,NaN,
DC207,DC,Psychology and Mathematics,,,,,,,,521,,Dublin City University,,NaN,NaN,
DC208,DC,Psychology,509,521,532,521,,,,565,,Dublin City University,Social and behavioural sciences,NaN,NaN,
DC209,DC,Health and Society,419,440,465,440,,,,477,,Dublin City University,Health,NaN,NaN,
DC210,DC,Psychology and Disruptive Technologies,,,,,,,,506,,Dublin City University,,NaN,NaN,
DC215,DC,General Nursing,414,443,454,433,,,,456,,Dublin City University,Health,NaN,*,
DC216,DC,Mental Health Nursing,368,389,418,403,,,,420,,Dublin City University,Health,NaN,NaN,
DC217,DC,Intellectual Disability Nursing,347,362,370,,,,,382,,Dublin City University,Health,NaN,NaN,
DC218,DC,Children`s and General Nursing (Integrated),467,480,500,498,,,,521,,Dublin City University,Health,NaN,*,
DC230,DC,Economics  Politics and Law,400,431,435,,,,,431,,Dublin City University,Social and behavioural sciences,NaN,NaN,
DC231,DC,International Relations,387,445,397,,,,,398,,Dublin City University,Social and behavioural sciences,NaN,NaN,
DC232,DC,Law and Society (BCL),453,487,466,,,,,469,,Dublin City University,Law,NaN,NaN,
DC235,DC,Education and Training - Daytime and Flexible Deli,307,327,309,,,,,302,,Dublin City University,Education,NaN,NaN,
DC238,DC,Social Sciences and Cultural Innovation,358,388,377,,,,,387,,Dublin City University,Humanities (except languages),NaN,NaN,
DC240,DC,Marketing  Innovation and Technology,451,474,476,474,,,,499,,Dublin City University,Business and administration,NaN,NaN,
DC241,DC,Digital Business and Innovation,,,,,,,,509,,Dublin City University,,NaN,NaN,
DC291,DC,Arts (Joint Honours) - Media Studies,349,392,376,,,,,350,,Dublin City University,Arts,NaN,NaN,
DC292,DC,Arts (Joint Honours) - Law,356,388,403,,,,,400,,Dublin City University,Arts,NaN,NaN,
DC293,DC,Arts (Joint Honours) - International Languages,369,400,377,,,,,379,,Dublin City University,Arts,NaN,NaN,
DC294,DC,Climate and Environmental Sustainability,,,,,,,,475,,Dublin City University,,NaN,NaN,
DC295,DC,Arts (Joint Honours) - Politics,348,387,376,,,,,349,,Dublin City University,Arts,NaN,NaN,
DC201,DC,Common Entry into Science (Undenominated Entry),454,477,498,488,*,,,,,Dublin City University,Biological and related sciences,NaN,NaN,*
DC239,DC,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,,,,,,,Dublin City University,Journalism and information,NaN,NaN,
DC005,DC,Education - Primary Teaching - Irish Sign Language ,316,316,,,,,,,,Dublin City University,,#,NaN,
DC167,DC,Physics with Astronomy ,434,477,,,,,,,,Dublin City University,,NaN,NaN,
DC171,DC,Applied Physics ,402,433,,,,,,,,Dublin City University,,NaN,NaN,
DC173,DC,Physics with Biomedical Sciences ,402,458,,,,,,,,Dublin City University,,NaN,NaN,
DK810,DK,Accounting and Finance,306,391,305,305,,,,307,307,Dundalk Institute of Technology,Business and administration,NaN,NaN,
DK816,DK,Business Studies,300,357,300,300,,,,301,301,Dundalk Institute of Technology,Business and administration,NaN,NaN,
DK820,DK,Computing in Games Development,307,369,311,311,,,,309,309,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
DK821,DK,Computing in Software Development,301,347,302,302,,,,320,316,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
DK822,DK,Augmented and Virtual Reality,,,307,,,,,320,320,Dundalk Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
DK830,DK,Building Surveying,302,349,336,,,,,305,,Dundalk Institute of Technology,Architecture and construction,NaN,NaN,
DK831,DK,Architectural Technology,301,366,389,,,,,368,314,Dundalk Institute of Technology,Architecture and construction,NaN,NaN,
DK832,DK,Construction Management,300,329,387,,,,,358,305,Dundalk Institute of Technology,Architecture and construction,NaN,NaN,
DK843,DK,Engineering (Common Entry),303,402,340,340,,,,404,391,Dundalk Institute of Technology,Engineering and engineering trades,NaN,NaN,
DK844,DK,Mechanical Engineering,,,305,305,,,,336,336,Dundalk Institute of Technology,Engineering and engineering trades,NaN,NaN,
DK845,DK,Electrical and Electronic Engineering,,,304,304,,,,331,331,Dundalk Institute of Technology,Engineering and engineering trades,NaN,NaN,
DK846,DK,Civil Engineering,,,391,361,,,,371,371,Dundalk Institute of Technology,Architecture and construction,NaN,NaN,
DK850,DK,International Tourism Management,,,317,317,,,,303,303,Dundalk Institute of Technology,Personal services,NaN,NaN,
DK861,DK,Arts,300,358,302,302,,,,302,302,Dundalk Institute of Technology,Social and behavioural sciences,NaN,NaN,
DK862,DK,Social Care,300,338,301,,,,,322,319,Dundalk Institute of Technology,Welfare,NaN,NaN,
DK863,DK,Creative Media,300,376,308,308,,,,336,320,Dundalk Institute of Technology,Arts,NaN,NaN,
DK864,DK,Film and Television Production,300,332,300,300,,,,308,,Dundalk Institute of Technology,Arts,NaN,NaN,
DK865,DK,Audio and Music Production,301,346,301,,,,,352,,Dundalk Institute of Technology,Arts,NaN,NaN,
DK870,DK,General Nursing,392,401,403,401,,,,440,440,Dundalk Institute of Technology,Health,NaN,*,
DK872,DK,Intellectual Disability Nursing,300,317,336,,,,,367,366,Dundalk Institute of Technology,Health,NaN,NaN,
DK874,DK,Mental Health Nursing,356,378,356,,,,,398,,Dundalk Institute of Technology,Health,NaN,NaN,
DK876,DK,Early Childhood Studies,305,359,321,,,,,300,,Dundalk Institute of Technology,Welfare,NaN,NaN,
DK877,DK,Midwifery,398,441,440,,,,,482,477,Dundalk Institute of Technology,Health,*,NaN,
DK880,DK,Health and Physical Activity,300,367,328,,,,,301,,Dundalk Institute of Technology,Health,NaN,NaN,
DK882,DK,Agriculture (Award options),303,358,310,,,,,342,,Dundalk Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",NaN,NaN,
DK883,DK,Science (Award options),300,369,358,321,,,,373,368,Dundalk Institute of Technology,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",NaN,NaN,
DK884,DK,Sustainable Agriculture,,,,,,,,348,,Dundalk Institute of Technology,Agriculture,NaN,NaN,
DK885,DK,Agri-Food Production,,,,,,,,,,Dundalk Institute of Technology,Manufacturing and processing,NaN,NaN,
DK886,DK,Biopharmaceutical Science,,,301,,,,,379,,Dundalk Institute of Technology,Manufacturing and processing,NaN,NaN,
DK887,DK,Environmental Science,,,330,,,,,377,,Dundalk Institute of Technology,Environment,NaN,NaN,
DK860,DK,Music (audition),499,649,532,532,,,#,,,Dundalk Institute of Technology,Arts,#,NaN,#
DL822,DL,Arts Management,209,319,229,229,,,,254,,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,NaN,NaN,
DL823,DL,Business Management,260,316,235,,,,,220,,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,NaN,NaN,
DL825,DL,Applied Psychology,349,413,379,,,,,418,413,"Dun Laoghaire Institute of Art, Design and Technology",Social and behavioural sciences,NaN,NaN,
DL826,DL,Graphic Design,736,989,855,,,,#,591,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,#,#
DL827,DL,Art,583,902,572,,,,#,574,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,#,#
DL832,DL,Animation,855,1055,920,,,,#,989,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,#,#
DL833,DL,Photography and Visual Media,636,791,650,,,,#,671,671,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,#,#
DL836,DL,Creative Computing,217,326,219,,,,,235,,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),NaN,NaN,
DL837,DL,New Media Studies,290,349,201,,,,,298,293,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),NaN,NaN,
DL838,DL,Creative Music Production,746,873,754,,,,#,713,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,#,#
DL839,DL,Interaction and User Experience Design,,,683,683,,,#,757,,"Dun Laoghaire Institute of Art, Design and Technology",Information and Communication Technologies (ICTs),NaN,#,#
DL840,DL,Digital Marketing,,,228,228,,,,210,,"Dun Laoghaire Institute of Art, Design and Technology",Business and administration,NaN,NaN,
DL841,DL,English and Equality Studies,,,276,,,,,277,277,"Dun Laoghaire Institute of Art, Design and Technology",Arts,NaN,NaN,
DL843,DL,Film,,,,,,,,987,874,"Dun Laoghaire Institute of Art, Design and Technology",,NaN,#,
DL844,DL,Television,,,,,,,,566,,"Dun Laoghaire Institute of Art, Design and Technology",,NaN,#,
DL845,DL,Design for Film (degree options),,,,,,,,628,,"Dun Laoghaire Institute of Art, Design and Technology",,NaN,#,
DL821,DL,"English, Media and Cultural Studies",211,317,212,212,,,,,,"Dun Laoghaire Institute of Art, Design and Technology",Humanities (except languages),NaN,NaN,
DL828,DL,"3D Design, Modelmaking and Digital Art",691,866,506,,,,#,,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,NaN,#
DL829,DL,Design for Stage and Screen (Costume Design),817,1021,593,,,,#,,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,NaN,#
DL830,DL,Design for Stage and Screen (Character Makeup Design),879,953,939,,,,#,,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,NaN,#
DL831,DL,Design for Stage and Screen (Production Design),893,1073,781,,,,#,,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,NaN,#
DL834,DL,Film and Television Production,933,1011,990,,,,#,,,"Dun Laoghaire Institute of Art, Design and Technology",Arts,#,NaN,#
DL835,DL,Creative Media Technologies ,237,289,,,,,,,,"Dun Laoghaire Institute of Art, Design and Technology",,NaN,NaN,
DN100,DN,Architecture,473,509,510,,,,,555,,University College Dublin (NUI),Architecture and construction,NaN,NaN,
DN120,DN,Landscape Architecture,353,403,407,,,,,463,435,University College Dublin (NUI),Architecture and construction,NaN,NaN,
DN130,DN,City Planning and Environmental Policy,367,421,407,400,,,,445,424,University College Dublin (NUI),Architecture and construction,NaN,NaN,
DN150,DN,Engineering (Common Entry),511,554,531,521,,,,565,,University College Dublin (NUI),Engineering and engineering trades,NaN,*,
DN200,DN,Science (options),521,554,533,,,,,577,567,University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",NaN,NaN,
DN201,DN,Computer Science (Common Entry),488,509,510,,,,,554,549,University College Dublin (NUI),Information and Communication Technologies (ICTs),NaN,NaN,
DN230,DN,Actuarial and Financial Studies,577,589,601,,,,,613,613,University College Dublin (NUI),Mathematics and statistics,NaN,*,
DN240,DN,Sustainability,,,440,,,,,510,,University College Dublin (NUI),Environment,NaN,NaN,
DN250,DN,Agricultural Science (options),420,462,456,455,,,,454,444,University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",NaN,NaN,
DN261,DN,Food Science,434,467,477,,,,,531,,University College Dublin (NUI),Agriculture,NaN,NaN,
DN262,DN,Human Nutrition,493,510,531,,,,,566,,University College Dublin (NUI),Health,NaN,NaN,
DN300,DN,Veterinary Medicine - Undergraduate Entry,567,589,589,,,,#,601,,University College Dublin (NUI),Veterinary,#,#*,#
DN301,DN,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,,#,,,University College Dublin (NUI),Veterinary,#,NaN,#
DN310,DN,Veterinary Nursing,441,487,478,477,,,,521,509,University College Dublin (NUI),Veterinary,NaN,NaN,
DN400,DN,Medicine - Undergraduate Entry (HPAT required),735,745,737,736,,*,#,743,,University College Dublin (NUI),Health,#,#*,*#
DN401,DN,Medicine - Graduate Entry (GAMSAT required),59,61,,,,,#,61,,University College Dublin (NUI),Health,#*,#*,#
DN410,DN,Radiography,507,522,534,532,,*,,566,566,University College Dublin (NUI),Health,NaN,*,*
DN411,DN,Radiography - Graduate Entry,,,,,,,#,,,University College Dublin (NUI),Health,#,#,#
DN420,DN,Physiotherapy,542,555,578,577,,*,,601,601,University College Dublin (NUI),Health,NaN,*,*
DN425,DN,Health and Performance Science,488,509,510,509,,*,,544,543,University College Dublin (NUI),Health,NaN,NaN,*
DN430,DN,Sport and Exercise Management,436,455,455,445,,,,484,476,University College Dublin (NUI),Business and administration,NaN,NaN,
DN440,DN,Biomedical  Health and Life Sciences,565,579,590,589,,*,,613,613,University College Dublin (NUI),Biological and related sciences,*,*,*
DN450,DN,General Nursing,398,420,429,424,*,,,462,,University College Dublin (NUI),Health,NaN,*,*
DN451,DN,Children`s and General Nursing (Integrated),462,499,509,506,,,,533,,University College Dublin (NUI),Health,*,NaN,
DN452,DN,Midwifery,409,452,489,476,,,,510,509,University College Dublin (NUI),Health,NaN,*,
DN453,DN,Mental Health Nursing,379,403,397,393,,,,442,,University College Dublin (NUI),Health,NaN,NaN,
DN520,DN,Joint Honours (options),336,408,310,,,,,381,378,University College Dublin (NUI),Arts,NaN,NaN,
DN530,DN,Humanities (options),348,411,340,336,,,,397,388,University College Dublin (NUI),Humanities (except languages),NaN,NaN,
DN541,DN,Modern Languages (options),348,412,303,,,,,320,,University College Dublin (NUI),Languages,NaN,NaN,
DN600,DN,Law (options),520,532,546,544,,,,576,567,University College Dublin (NUI),Law,*,*,
DN610,DN,Business and Law,521,543,545,,,,,573,567,University College Dublin (NUI),Business and administration,NaN,NaN,
DN650,DN,Commerce,498,510,521,521,*,*,,555,,University College Dublin (NUI),Business and administration,*,NaN,*
DN660,DN,Commerce International (options),507,531,517,511,,,,555,554,University College Dublin (NUI),Business and administration,NaN,*,
DN670,DN,Economics and Finance,601,601,613,,,,,625,625,University College Dublin (NUI),Business and administration,NaN,*,
DN700,DN,Social Sciences (options),388,441,421,419,,,,475,474,University College Dublin (NUI),Social and behavioural sciences,NaN,NaN,
DN710,DN,Economics,476,488,498,498,*,*,,534,532,University College Dublin (NUI),Social and behavioural sciences,NaN,*,*
DN720,DN,Psychology,517,531,530,522,,*,,566,564,University College Dublin (NUI),Social and behavioural sciences,NaN,NaN,*
DN750,DN,Social Policy and Sociology,330,366,378,,,,,421,,University College Dublin (NUI),Social and behavioural sciences,NaN,NaN,
DN252,DN,Dairy Business,398,428,410,,,,,,,University College Dublin (NUI),Agriculture,NaN,NaN,
DN253,DN,Agri - Environmental Sciences,403,419,418,,,,,,,University College Dublin (NUI),Environment,NaN,NaN,
DN271,DN,Forestry,303,361,311,,,,,,,University College Dublin (NUI),"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",NaN,NaN,
DN272,DN,"Horticulture, Landscape and Sportsturf Management",252,312,297,282,,,,,,University College Dublin (NUI),Agriculture,NaN,NaN,
DT001,DT,Product Design ,433,464,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT028,DT,Transport Operations and Technology ,279,348,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT035,DT,Electrical Services and Energy Management ,293,340,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT066,DT,Engineering (General Entry) ,400,457,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT101,DT,Architecture (test and interview) ,618,647,,,,,,,,Technological University Dublin City Campus,,#,NaN,
DT106,DT,Planning and Environmental Management ,312,337,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT110,DT,Property Economics (Valuation Surveying) ,367,424,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT111,DT,Quantity Surveying and Construction Economics ,391,421,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT112,DT,Geographic Science ,287,335,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT117,DT,Construction Management ,356,373,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT175,DT,Architectural Technology ,388,425,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT201,DT,Science (General Entry) ,464,477,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT203,DT,Analytical Chemistry (Environmental Forensic and Pharmaceutical) ,341,403,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT204,DT,Biomedical Science ,501,512,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT205,DT,Mathematical Sciences ,315,363,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT206,DT,Biomedical and Molecular Diagnostics ,473,487,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT211,DT,Computer Science (Infrastructure) ,381,414,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT220,DT,Industrial Mathematics ,300,317,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT221,DT,Physics with Energy and Environment ,348,436,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT222,DT,Physics Technology ,321,371,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT223,DT,Human Nutrition and Dietetics ,553,566,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT224,DT,Optometry ,487,529,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT225,DT,Public Health Nutrition ,440,476,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT227,DT,Science with Nanotechnology ,312,361,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT228,DT,Computer Science ,451,466,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT229,DT,Clinical Measurement Science ,491,509,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT235,DT,Physics with Medical Physics and Bioengineering ,357,403,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT282,DT,Computer Science (International) ,377,402,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT299,DT,Chemical Sciences with Medicinal Chemistry ,420,445,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT302,DT,Business Analytics ,325,403,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT304,DT,E-Commerce in Retailing ,341,388,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT321,DT,Business and Law ,462,478,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT341,DT,Marketing ,400,419,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT343,DT,Retail and Services Management ,301,332,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT354,DT,Business Computing ,322,341,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT358,DT,Logistics and Supply Chain Management ,300,359,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT365,DT,Business and Management ,440,456,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT366,DT,Accounting and Finance ,432,454,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT398,DT,Human Resource Management ,375,388,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT399,DT,Economics and Finance ,437,465,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT401,DT,International Hospitality Management ,300,337,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT405,DT,Culinary Science ,308,377,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT407,DT,Culinary Arts ,271,342,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT412,DT,Tourism Marketing ,284,322,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT413,DT,Event Management ,356,389,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT416,DT,Culinary Entrepreneurship ,275,339,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT420,DT,Nutraceuticals in Health and Nutrition ,392,432,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT421,DT,Food Innovation ,321,366,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT422,DT,Pharmaceutical Healthcare ,397,423,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT491,DT,Environmental Health ,343,380,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT501,DT,Music ,383,520,,,,,,,,Technological University Dublin City Campus,,#,NaN,
DT504,DT,Film and Broadcasting ,443,467,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT506,DT,Commercial Modern Music ,468,835,,,,,,,,Technological University Dublin City Campus,,#,NaN,
DT508,DT,Game Design ,403,454,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT517,DT,Languages and English Studies ,326,419,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
DT518,DT,Languages and International Tourism ,307,357,,,,,,,,Technological University Dublin City Campus,,NaN,NaN,
